"term","estimate","std_error","z_value","p_value"
"continuation_type1",0.858653016430608,0.109122335469591,7.868719201578,3.5829034058592e-15
"adverb_type1",-0.0795594270857165,0.105820557700838,-0.751833375426319,0.452151268239869
"negation_position1",0.0343929624214742,0.103973354840928,0.33078631033973,0.740805902100684
"continuation_type1:adverb_type1",0.277485551873664,0.102007625834259,2.7202432132331,0.00652339162924423
"continuation_type1:negation_position1",-0.392996552207368,0.103543201937716,-3.7954838642499,0.000147355779373384
"adverb_type1:negation_position1",-0.0115442904134004,0.102491720160749,-0.112636322185775,0.910318887338187
"continuation_type1:adverb_type1:negation_position1",0.096287747576016,0.101448770924344,0.949126802608805,0.342556124049756
