"diagnostic","value"
"convergence_code","0"
"maximum_absolute_gradient","0.000999101530396729"
"positive_definite_hessian","TRUE"
"hessian_condition_number","89.6570962055498"
"log_likelihood","-527.145221047236"
"AIC","1080.29044209447"
"BIC","1131.91684601175"
