"term","estimate","std_error","z_value","p_value"
"continuation_type1",0.597830064314214,0.0826704261436562,7.23148642387988,4.77735860960187e-13
"adverb_type1",-0.137401308394018,0.114002675802487,-1.2052463455513,0.228108215781884
"adverb_type2",0.0691575285351959,0.117967918886918,0.58624013365438,0.557714155157449
"negation_position1",0.0922643924077493,0.0805127690388024,1.14595974662458,0.251811808010828
"continuation_type1:adverb_type1",0.470621911184457,0.114169745828825,4.12212454155817,3.75394143259812e-05
"continuation_type1:adverb_type2",-0.0525149109105059,0.114752007215713,-0.457638277400999,0.647212338704305
"continuation_type1:negation_position1",-0.366709432382943,0.0811687558284007,-4.51786440041295,6.24664651066673e-06
"adverb_type1:negation_position1",-0.0667841365252896,0.113563173513006,-0.588079167386433,0.55647915559538
"adverb_type2:negation_position1",-0.00958964656446907,0.116205120703281,-0.0825234422238185,0.934230477710015
"continuation_type1:adverb_type1:negation_position1",0.0943619706947096,0.113062203904897,0.834602258187737,0.403941690286687
"continuation_type1:adverb_type2:negation_position1",-0.0840503450039,0.114902282935839,-0.731494125759306,0.464477391257087
