"contrast","continuation_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","p_value_holm"
"temporal - manner","match",0.316577985165749,0.298237921495106,Inf,-0.267957599788743,0.901113570120241,1.06149474077174,0.288465121745863,0.41622524212713
"temporal - ideophone","match",0.683083823205568,0.290720833392995,Inf,0.113281460199829,1.25288618621131,2.3496211648588,0.0187925266727155,0.0563775800181465
"manner - ideophone","match",0.366505838039819,0.291161367719155,Inf,-0.204159956379148,0.937171632458786,1.25877220907047,0.208112621063565,0.41622524212713
"temporal - manner","mismatch",-0.729695659024176,0.269089671532546,Inf,-1.25710172383968,-0.202289594208673,-2.71171931225878,0.00669352458388034,0.0133870491677607
"temporal - ideophone","mismatch",-1.09437399971125,0.260103803234538,Inf,-1.60416808629283,-0.58457991312966,-4.20745097188925,2.58267412698589e-05,7.74802238095768e-05
"manner - ideophone","mismatch",-0.36467834068707,0.271507498858687,Inf,-0.896823259982647,0.167466578608506,-1.34316120998513,0.179219779004555,0.179219779004555
