"participant_id","adverb_type","observations"
"exp1_001","temporal",4
"exp1_002","temporal",4
"exp1_003","temporal",4
"exp1_004","temporal",4
"exp1_005","temporal",4
"exp1_006","temporal",4
"exp1_007","temporal",4
"exp1_008","temporal",4
"exp1_009","temporal",4
"exp1_010","temporal",4
"exp1_011","temporal",4
"exp1_012","temporal",4
"exp1_013","temporal",4
"exp1_014","temporal",4
"exp1_015","temporal",4
"exp1_016","temporal",4
"exp1_017","temporal",4
"exp1_018","temporal",4
"exp1_019","temporal",4
"exp1_020","temporal",4
"exp1_021","temporal",4
"exp1_022","temporal",4
"exp1_023","temporal",4
"exp1_024","temporal",4
"exp1_025","temporal",4
"exp1_026","temporal",4
"exp1_027","temporal",4
"exp1_028","temporal",4
"exp1_029","temporal",4
"exp1_030","temporal",4
"exp1_031","temporal",4
"exp1_032","temporal",4
"exp1_033","temporal",4
"exp1_034","temporal",4
"exp1_035","temporal",4
"exp1_036","temporal",4
"exp1_037","temporal",4
"exp1_038","temporal",4
"exp1_039","temporal",4
"exp1_040","temporal",4
"exp1_041","temporal",4
"exp1_042","temporal",4
"exp1_043","temporal",4
"exp1_044","temporal",4
"exp1_045","temporal",4
"exp1_046","temporal",4
"exp1_047","temporal",4
"exp1_048","temporal",4
"exp1_049","temporal",4
"exp1_050","temporal",4
"exp1_001","manner",2
"exp1_002","manner",4
"exp1_003","manner",4
"exp1_004","manner",4
"exp1_005","manner",4
"exp1_006","manner",4
"exp1_007","manner",4
"exp1_008","manner",4
"exp1_009","manner",4
"exp1_010","manner",4
"exp1_011","manner",4
"exp1_012","manner",2
"exp1_013","manner",4
"exp1_014","manner",4
"exp1_015","manner",4
"exp1_016","manner",4
"exp1_017","manner",4
"exp1_018","manner",4
"exp1_019","manner",4
"exp1_020","manner",4
"exp1_021","manner",4
"exp1_022","manner",4
"exp1_023","manner",4
"exp1_024","manner",2
"exp1_025","manner",4
"exp1_026","manner",4
"exp1_027","manner",2
"exp1_028","manner",4
"exp1_029","manner",2
"exp1_030","manner",4
"exp1_031","manner",4
"exp1_032","manner",2
"exp1_033","manner",4
"exp1_034","manner",4
"exp1_035","manner",2
"exp1_036","manner",4
"exp1_037","manner",4
"exp1_038","manner",4
"exp1_039","manner",4
"exp1_040","manner",4
"exp1_041","manner",4
"exp1_042","manner",2
"exp1_043","manner",4
"exp1_044","manner",4
"exp1_045","manner",4
"exp1_046","manner",4
"exp1_047","manner",4
"exp1_048","manner",4
"exp1_049","manner",4
"exp1_050","manner",4
"exp1_001","ideophone",6
"exp1_002","ideophone",4
"exp1_003","ideophone",4
"exp1_004","ideophone",4
"exp1_005","ideophone",4
"exp1_006","ideophone",4
"exp1_007","ideophone",4
"exp1_008","ideophone",4
"exp1_009","ideophone",4
"exp1_010","ideophone",4
"exp1_011","ideophone",4
"exp1_012","ideophone",6
"exp1_013","ideophone",4
"exp1_014","ideophone",4
"exp1_015","ideophone",4
"exp1_016","ideophone",4
"exp1_017","ideophone",4
"exp1_018","ideophone",4
"exp1_019","ideophone",4
"exp1_020","ideophone",4
"exp1_021","ideophone",4
"exp1_022","ideophone",4
"exp1_023","ideophone",4
"exp1_024","ideophone",6
"exp1_025","ideophone",4
"exp1_026","ideophone",4
"exp1_027","ideophone",6
"exp1_028","ideophone",4
"exp1_029","ideophone",6
"exp1_030","ideophone",4
"exp1_031","ideophone",4
"exp1_032","ideophone",6
"exp1_033","ideophone",4
"exp1_034","ideophone",4
"exp1_035","ideophone",6
"exp1_036","ideophone",4
"exp1_037","ideophone",4
"exp1_038","ideophone",4
"exp1_039","ideophone",4
"exp1_040","ideophone",4
"exp1_041","ideophone",4
"exp1_042","ideophone",6
"exp1_043","ideophone",4
"exp1_044","ideophone",4
"exp1_045","ideophone",4
"exp1_046","ideophone",4
"exp1_047","ideophone",4
"exp1_048","ideophone",4
"exp1_049","ideophone",4
"exp1_050","ideophone",4
