participant_id,source_row,duration_seconds,finished,possible_duplicate_submission,stimulus_set,item_position_in_source_block,source_column_number,condition_code,polarity,continuation_type,response_text
P009,10,190,true,false,4,8,49,neg_reduplication,negative,reduplication,kolay
P010,11,185,true,false,4,1,42,aff_manner,affirmative,manner,Güvertesi
P010,11,185,true,false,4,2,43,neg_temporal,negative,temporal,Teneffüste
P010,11,185,true,false,4,3,44,neg_filler,negative,filler,Yeniler
P010,11,185,true,false,4,4,45,aff_reduplication,affirmative,reduplication,Eve gelince
P010,11,185,true,false,4,5,46,neg_manner,negative,manner,İsiticida
P010,11,185,true,false,4,6,47,aff_filler,affirmative,filler,Kardeşine
P010,11,185,true,false,4,7,48,aff_temporal,affirmative,temporal,Öğlen
P010,11,185,true,false,4,8,49,neg_reduplication,negative,reduplication,Kolaylıkla
P011,12,310,true,false,3,1,34,neg_manner,negative,manner,yolcu gemisi
P011,12,310,true,false,3,2,35,aff_temporal,affirmative,temporal,öğretmen
P011,12,310,true,false,3,3,36,aff_filler,affirmative,filler,yeni evrakları
P011,12,310,true,false,3,4,37,neg_reduplication,negative,reduplication,kız
P011,12,310,true,false,3,5,38,aff_manner,affirmative,manner,süt
P011,12,310,true,false,3,6,39,neg_filler,negative,filler,yeğenine
P011,12,310,true,false,3,7,40,neg_temporal,negative,temporal,otomobil
P011,12,310,true,false,3,8,41,aff_reduplication,affirmative,reduplication,kadın
P012,13,250,true,false,5,1,50,neg_temporal,negative,temporal,Bir hafta önce
P012,13,250,true,false,5,2,51,aff_reduplication,affirmative,reduplication,Bağırarak
P012,13,250,true,false,5,3,52,aff_filler,affirmative,filler,Yenilerini
P012,13,250,true,false,5,4,53,neg_manner,negative,manner,Hıçkıra hıçkıra
P012,13,250,true,false,5,5,54,aff_temporal,affirmative,temporal,Daha önce
P012,13,250,true,false,5,6,55,neg_filler,negative,filler,Çiçekleri
P012,13,250,true,false,5,7,56,neg_reduplication,negative,reduplication,Gayet sessizce
P012,13,250,true,false,5,8,57,aff_manner,affirmative,manner,Korkuyla
P013,14,462,true,false,5,1,50,neg_temporal,negative,temporal,bir gün önce
P013,14,462,true,false,5,2,51,aff_reduplication,affirmative,reduplication,arkadaşı
P013,14,462,true,false,5,3,52,aff_filler,affirmative,filler,yenilerini
