"term","estimate","std_error","z_value","p_value"
"continuation_type1",-0.44489736728546,0.08180217254701,-5.43869867306747,5.36711385443826e-08
"adverb_type1",0.371286626597895,0.117183659946468,3.1684163710837,0.00153271837783948
"adverb_type2",-0.188128482528522,0.112960943889384,-1.66542944889646,0.0958271082090041
"negation_position1",0.313938532911906,0.0809402161395468,3.87864707910655,0.000105039012226345
"continuation_type1:adverb_type1",0.0462663803635096,0.115708441887011,0.399853110187833,0.689264710220906
"continuation_type1:adverb_type2",0.169547802313143,0.112263135796944,1.51027139149055,0.130974188511832
"continuation_type1:negation_position1",-0.105913447070114,0.0799906203433623,-1.32407333029144,0.185478691936737
"adverb_type1:negation_position1",0.182222440863308,0.116229464737601,1.56778181225124,0.116932060896307
"adverb_type2:negation_position1",-0.0541836096938469,0.112439090700175,-0.481892990742256,0.629881965610264
"continuation_type1:adverb_type1:negation_position1",0.146430717148184,0.115720469784219,1.26538301668866,0.205734060251212
"continuation_type1:adverb_type2:negation_position1",-0.0385351251102258,0.112084663788369,-0.34380372664529,0.730993897434129
