"diagnostic","value"
"convergence_code","0"
"maximum_absolute_gradient","0.00116664239158126"
"positive_definite_hessian","TRUE"
"hessian_condition_number","101.310786460816"
"log_likelihood","-778.352881715855"
"AIC","1590.70576343171"
"BIC","1665.11012154599"
