"field","value"
"study","Experiment II"
"analysis","Extended analysis including ideophones"
"input_file","data/processed/exp2_contrastive_noncanonical.csv"
"participants","49"
"observations","588"
"temporal_observations","196"
"manner_observations","196"
"ideophone_observations","196"
"scenarios","6"
"response_scale","Ordinal ratings from 1 to 5"
"model_family","Cumulative link mixed model"
"link","logit"
"fixed_effects","continuation_type * adverb_type * negation_position"
"random_effects","Random intercepts for participant_id and scenario"
"contrast_coding","Sum coding"
"rating_order","1 < 2 < 3 < 4 < 5"
"pairwise_reporting","Unadjusted p-values reproduce the dissertation; Holm-adjusted p-values are also supplied"
