"rating","continuation_type","adverb_type","negation_position","predicted_probability","std_error","lower_95","upper_95"
"1","match","temporal","second_clause",0.0405331884444194,0.0150904212442792,0.0109565062940939,0.0701098705947448
"2","match","temporal","second_clause",0.0988674420323307,0.0306534578428481,0.0387877686587317,0.15894711540593
"3","match","temporal","second_clause",0.0637795873260733,0.0177799059602715,0.028931611995432,0.0986275626567145
"4","match","temporal","second_clause",0.355207865791144,0.0382647124444727,0.280210407521196,0.430205324061092
"5","match","temporal","second_clause",0.441611916406033,0.089808211290779,0.265591056760143,0.617632776051923
"1","mismatch","temporal","second_clause",0.020223403641122,0.0080505925356877,0.0044445322169671,0.0360022750652769
"2","mismatch","temporal","second_clause",0.0531149694320486,0.0188028318922602,0.0162620961158575,0.0899678427482396
"3","mismatch","temporal","second_clause",0.0374451547653925,0.0125901669292655,0.0127688810246849,0.0621214285061002
"4","mismatch","temporal","second_clause",0.271089742060513,0.0529180554501748,0.167372259246277,0.374807224874749
"5","mismatch","temporal","second_clause",0.618126730100924,0.0874173942274964,0.446791785792691,0.789461674409156
"1","match","manner","second_clause",0.0905653840897686,0.0301059113060095,0.0315588822082328,0.149571885971304
"2","match","manner","second_clause",0.185758256254111,0.043543612116524,0.100414344748942,0.27110216775928
"3","match","manner","second_clause",0.0990973982177633,0.0186761836052342,0.0624927509828468,0.13570204545268
"4","match","manner","second_clause",0.373361246119246,0.0293640281172962,0.315808808568324,0.430913683670168
"5","match","manner","second_clause",0.251217715319111,0.0663835100546353,0.121108426444673,0.381327004193549
"1","mismatch","manner","second_clause",0.0412354457197838,0.0154219121188875,0.0110090533940225,0.0714618380455452
"2","mismatch","manner","second_clause",0.100327637541057,0.0311297768207683,0.0393143961255814,0.161340878956533
"3","mismatch","manner","second_clause",0.06453203282783,0.0177472151190866,0.0297481303685355,0.0993159352871245
"4","mismatch","manner","second_clause",0.356704507073095,0.03740885365121,0.283384501213793,0.430024512932396
"5","mismatch","manner","second_clause",0.437200376838234,0.0893353713751597,0.262106266397411,0.612294487279058
"1","match","ideophone","second_clause",0.143915384203745,0.0433688015018988,0.0589140952073564,0.228916673200133
"2","match","ideophone","second_clause",0.248024768962965,0.0439851444103556,0.161815470063875,0.334234067862056
"3","match","ideophone","second_clause",0.111704217180126,0.0167401935348709,0.0788940407575485,0.144514393602703
"4","match","ideophone","second_clause",0.330561813085378,0.0430986215480619,0.246090067067855,0.415033559102901
"5","match","ideophone","second_clause",0.165793816567786,0.0480642452468822,0.071589626939797,0.259998006195776
"1","mismatch","ideophone","second_clause",0.0284102160333251,0.0107600248759828,0.00732095480364364,0.0494994772630065
"2","mismatch","ideophone","second_clause",0.0724044497813479,0.0237130695555762,0.0259276874895254,0.11888121207317
"3","mismatch","ideophone","second_clause",0.0492028811711658,0.0149058950333904,0.0199878637483861,0.0784178985939455
"4","mismatch","ideophone","second_clause",0.316705334434069,0.047259742531534,0.224077941153627,0.409332727714512
"5","mismatch","ideophone","second_clause",0.533277118580092,0.0890403669765246,0.358761206135874,0.70779303102431
"1","match","temporal","first_clause",0.1099844314781,0.0364567541244822,0.038530506400883,0.181438356555317
"2","match","temporal","first_clause",0.211508229671682,0.0464012567162042,0.120563437670525,0.30245302167284
"3","match","temporal","first_clause",0.105733189252878,0.0180394181785511,0.0703765793208607,0.141089799184895
"4","match","temporal","first_clause",0.359948959301184,0.0363028058196785,0.288796767356863,0.431101151245505
"5","match","temporal","first_clause",0.212825190296156,0.0608326966434738,0.0935952957924969,0.332055084799815
"1","mismatch","temporal","first_clause",0.0488370268750508,0.0181402461920644,0.0132827976679147,0.084391256082187
"2","mismatch","temporal","first_clause",0.115649598590179,0.0349500963123167,0.047148668561832,0.184150528618526
"3","mismatch","temporal","first_clause",0.0721018126895861,0.0188968465818354,0.0350646739678099,0.109138951411362
"4","mismatch","temporal","first_clause",0.369209460722154,0.0319636907173025,0.306561778103264,0.431857143341044
"5","mismatch","temporal","first_clause",0.39420210112303,0.0878562555409372,0.222007004446245,0.566397197799814
"1","match","manner","first_clause",0.111437772857346,0.0359845873206165,0.0409092777104009,0.181966268004291
"2","match","manner","first_clause",0.213283403019473,0.0451987097277654,0.124695559805373,0.301871246233574
"3","match","manner","first_clause",0.106120762533981,0.0178845794734498,0.0710676308873752,0.141173894180587
"4","match","manner","first_clause",0.358795439905551,0.0360471294789445,0.288144364380768,0.429446515430334
"5","match","manner","first_clause",0.210362621683649,0.0588425169259989,0.0950334077490023,0.325691835618295
"1","mismatch","manner","first_clause",0.0880291254711306,0.0293066200671102,0.0305892056309958,0.145469045311265
"2","mismatch","manner","first_clause",0.182101336134037,0.0427415929706973,0.0983293532696004,0.265873318998475
"3","mismatch","manner","first_clause",0.0980062053171841,0.0184590769480832,0.0618270793110874,0.134185331323281
"4","mismatch","manner","first_clause",0.374733286994304,0.0285832458495873,0.318711154567859,0.430755419420749
"5","mismatch","manner","first_clause",0.257130046083344,0.0663918940857564,0.127004324809864,0.387255767356824
"1","match","ideophone","first_clause",0.137174056397167,0.0416333768410904,0.0555741372338458,0.218773975560488
"2","match","ideophone","first_clause",0.241546389177304,0.0438963795460819,0.155511066215282,0.327581712139325
"3","match","ideophone","first_clause",0.110970781696197,0.0169148019306424,0.0778183791065096,0.144123184285885
"4","match","ideophone","first_clause",0.336650211400471,0.0415042140987796,0.255303446560224,0.417996976240719
"5","match","ideophone","first_clause",0.173658561328861,0.0497569240938914,0.0761367821233407,0.271180340534382
"1","mismatch","ideophone","first_clause",0.0610672924999268,0.0211119165201178,0.0196886964758798,0.102445888523974
"2","mismatch","ideophone","first_clause",0.138534047987769,0.0371387336310669,0.0657434676394519,0.211324628336087
"3","mismatch","ideophone","first_clause",0.0823007810286289,0.0189206091339714,0.0452170685604855,0.119384493496772
"4","mismatch","ideophone","first_clause",0.378729892373704,0.026185268770917,0.327407708657205,0.430052076090203
"5","mismatch","ideophone","first_clause",0.339367986109971,0.0782954378417886,0.185911747786271,0.492824224433671
