"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","p_value_holm"
"temporal - manner",0.559415109126417,0.200684670537057,Inf,0.166080382624498,0.952749835628335,2.78753283760714,0.0053111071287833,0.0159333213863499
"temporal - ideophone",0.554444770667268,0.200309539230423,Inf,0.161845288015826,0.947044253318711,2.76793992336765,0.00564118533823647,0.0159333213863499
"manner - ideophone",-0.00497033845914818,0.192894804399958,Inf,-0.383037207887963,0.373096530969667,-0.025767093492277,0.979443108718627,0.979443108718627
