"term","estimate","std_error","degrees_freedom","t_value","p_value"
"(Intercept)",95.8141644509379,2.9841465301348,174.992475755733,32.1077277819229,2.92478044463595e-75
"adverb_typeconverbial",-7.02742685407171,3.18761922911137,1688.15304271188,-2.20460047106404,0.0276166046926216
"adverb_typereduplication",-3.68906966809987,3.18791485661452,1688.30481819143,-1.15720457854936,0.247352483029107
"adverb_typetemporal",-0.833024503792659,3.18791485661453,1688.30481830394,-0.261307011404096,0.793887631721801
"iconicity_conditionnonideophone",0.140350877193202,3.18732389371036,1687.99986371106,0.0440340805872163,0.964882445987801
"polaritynegative",-39.0786623830971,3.18786558979498,1688.27964536215,-12.2585665180477,3.70937020454965e-33
"adverb_typeconverbial:iconicity_conditionnonideophone",3.86842105263132,4.50755667816101,1687.99986358914,0.858207966939985,0.390899477456923
"adverb_typereduplication:iconicity_conditionnonideophone",-3.03508771929846,4.50755667816101,1687.99986385289,-0.673333234832826,0.50082748982587
"adverb_typetemporal:iconicity_conditionnonideophone",-5.21929824561428,4.50755667816101,1687.99986362059,-1.15789963793503,0.247068799524077
"adverb_typeconverbial:polaritynegative",1.69437574645088,4.50790471258978,1688.127615062,0.375867693413923,0.707062485893262
"adverb_typereduplication:polaritynegative",2.35963052705531,4.50835761282768,1688.2922550103,0.523390274174664,0.600771378928554
"adverb_typetemporal:polaritynegative",14.1709311068138,4.50835761282768,1688.29225482625,3.14325799410701,0.00169983433465436
"iconicity_conditionnonideophone:polaritynegative",-1.08771929824574,4.50755667816101,1687.99986356583,-0.241310176645301,0.809344032041044
"adverb_typeconverbial:iconicity_conditionnonideophone:polaritynegative",0.877192982456314,6.37464778742072,1687.99986351822,0.137606501834863,0.890567828221412
"adverb_typereduplication:iconicity_conditionnonideophone:polaritynegative",1.7719298245615,6.37464778742072,1687.99986399175,0.277965133706383,0.781073165154495
"adverb_typetemporal:iconicity_conditionnonideophone:polaritynegative",4.53508771929838,6.37464778742072,1687.9998633318,0.711425614486121,0.476918829003538
