"diagnostic","value"
"observations","912"
"convergence_ok","TRUE"
"convergence_messages","none"
"maximum_absolute_gradient","0.00154824192577507"
"positive_definite_hessian","TRUE"
"singular_fit","FALSE"
"residual_sigma","23.6639467445144"
"log_likelihood","-4258.51724815359"
"AIC","8539.03449630718"
"BIC","8592.006536198"
