"grp","var1","var2","vcov","sdcor"
"participant_id","(Intercept)",NA,283.393707898186,16.8343015268881
"scenario","(Intercept)",NA,16.5510100966667,4.0682932658139
"Residual",NA,NA,559.982375527215,23.6639467445144
