"grp","var1","var2","vcov","sdcor"
"participant_id","(Intercept)",NA,288.870933398138,16.9962034995507
"scenario","(Intercept)",NA,10.3213356097981,3.2126835527014
"Residual",NA,NA,579.064915394767,24.0637676890957
